name,location,price,capacity,rating,reviews,description
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,4.9,7,Waldorf Astoria Atlanta Buckhead is where unforgettable luxury and irresistible Southern charm meet.
Hotel Colee,"Atlanta, GA",$$$,251-300 Guests,0,0,Hotel Colee is an award-winning hotel to host your Celebration!
THE TROLLEY BARN,"Atlanta, GA",$$,201-250 Guests,4.2,41,"This 1889 structure features hardwood floors, a patio and garden area off of the main hall."
Kimpton Sylvan Hotel,"Atlanta, GA",$$$,101-150 Guests,1,1,The Kimpton Sylvan Hotel is a boutique wedding venue located in the heart of the Buckhead neighborhood.
42West Entertainment Group,"Atlanta, GA",$$$,251-300 Guests,5,6,42West Entertainment Group offers a distinct blend of industrial modernity and refined elegance.
The Westside Warehouse,"Atlanta, GA",$$,201-250 Guests,5,37,A converted warehouse in Atlanta's west-midtown creative district with soaring cathedral ceilings.
Enon Ranch,"Atlanta, GA",$$,251-300 Guests,5,2,A rustic countryside wedding venue offering a space for love and celebration.
Pristine Chapel Lakeside,"Jonesboro, GA",$$,251-300 Guests,4.8,103,A luxe ceremony and reception venue with sweeping lakeside views.
Kimball Hall,"Roswell, GA",$$,151-200 Guests,5,162,A newly renovated venue with indoor and outdoor ceremony sites and a courtyard.
Stanley House Mansion,"Marietta, GA",$$,101-150 Guests,5,48,A stunning historic mansion with classic Southern charm.
The Atrium,"Norcross, GA",$$,101-150 Guests,4.9,151,A contemporary wedding venue with a two-story glass atrium.
Primrose Cottage,"Roswell, GA",$$,300+ Guests,4.9,272,An enchanting three-story home in Historic Roswell with a stately front lawn.
Naylor Hall,"Roswell, GA",$$,201-250 Guests,5,173,"A historic venue with a modern makeover, perfect for grand celebrations."
Brick and Ivey,"Marietta, GA",$$,151-200 Guests,5,99,A modern wedding venue with exposed white brick walls and separate event spaces.
Roswell Historic Hall,"Roswell, GA",$$,300+ Guests,4.3,49,A historic event venue offering spaces for various celebrations.
Country Club of Roswell,"Roswell, GA",$$,201-250 Guests,4.7,23,A flexible wedding venue accommodating both intimate and large receptions.
Ivy Hall,"Roswell, GA",$$$,201-250 Guests,4.9,89,A historic wedding venue with Southern charm and natural beauty.
Olde Towne Special Events,"Marietta, GA",$$,251-300 Guests,5,66,A full-service event facility with a backdrop of style and elegance.
Vecoma At The Yellow River,"Snellville, GA",$$,251-300 Guests,4.9,199,A waterfront wedding venue offering beautiful views and discounts.
Flint Hill,"Norcross, GA",$$,251-300 Guests,4.8,205,A beautifully restored historic mansion with landscaped grounds.
Little Gardens,"Lawrenceville, GA",$$,251-300 Guests,4.9,215,A serene wedding venue with indoor and outdoor spaces surrounded by green grounds.
The 173 Carlyle House,"Norcross, GA",$$,300+ Guests,4.8,109,A turn-of-the-century mansion with elegant rooms and manicured grounds.
Brumby Hall & Gardens,"Marietta, GA",$$,151-200 Guests,4,2,A historic wedding venue surrounded by meticulously kept gardens.
The Foxglove,"Marietta, GA",$$,300+ Guests,5,3,A characterful wedding venue in the heart of Marietta's historic district.
Huntcliff River Club,"Atlanta, GA",$$,101-150 Guests,4.9,30,A charming wedding venue surrounded by river oaks and manicured lawns.
Roswell Mill Club,"Roswell, GA",$$,151-200 Guests,4.8,41,A unique piece of Southern history with a charming event space.
Whitestone Reserve,"Austell, GA",$$,101-150 Guests,5,21,A stunning new wedding venue with natural lighting and neutral tones.
Eden Garden House,"Atlanta, GA",$$$,151-200 Guests,New,New,A beautiful garden house facility perfect for special events.
The Reserves at Hamilton Homes,"Mableton, GA",$$$,101-150 Guests,5,1,A wedding venue with gorgeous sunset views and timeless interiors.
Chattahoochee Nature Center,"Roswell, GA",$$,151-200 Guests,4.8,38,"A nature-focused wedding venue nestled in Roswell, GA."
Westin Atlanta Airport,"Atlanta, GA",$$$$,300+ Guests,4,4,A convenient wedding venue near Hartsfield-Jackson International Airport.
Ashton Gardens Atlanta by Walters Wedding Estates,"Sugar Hill, GA",$$$,251-300 Guests,4.8,476,A premier wedding venue with a glass chapel and serene landscapes.
The Cotton Gin at Mill Creek,"Hiram, GA",$$,151-200 Guests,5,96,An all-inclusive wedding venue offering a proven planning experience.
Conservatory at Waterstone,"Acworth, GA",$$,201-250 Guests,4.9,102,A historic banquet hall offering all-inclusive wedding solutions.
The Wildflower Barn at Little River Farms,"Alpharetta, GA",$,101-150 Guests,5,81,"A historic, family-owned barn renovated for weddings with an all-white exterior and distressed brick walls."
Little River Farms,"Alpharetta, GA",$$,201-250 Guests,4.9,188,A peaceful retreat near Atlanta offering a serene setting for weddings.
Payne Corley House,"Duluth, GA",$$,151-200 Guests,5,190,A restored farmhouse offering a tranquil retreat for celebrations.
The Grande At Kennesaw,"Kennesaw, GA",$$,201-250 Guests,4,10,A charming Victorian-style farmhouse with landscaped gardens.
Foxhall Resort,"Douglasville, GA",$$$,201-250 Guests,4.2,63,"A picturesque resort on 1,100 acres offering a full weekend experience."
SomeTheme Weddings & Events,Metro Atlanta and Surrounding Areas,$$$,51-100 Guests,5,6,A venue with timeless elegance and 11-foot windows.
Venue 92,"Woodstock, GA",$$,151-200 Guests,4.9,89,"A flexible venue for romantic, glamorous, or party-style weddings."
Che\'ne Rouge,"Hiram, GA",$$,151-200 Guests,4.9,7,An elegant wedding venue offering a tranquil setting.
TPC Sugarloaf,"Duluth, GA",$$$,201-250 Guests,5,36,An elegant clubhouse with a ceremony lawn overlooking a golf course.
Douglasville Conference Center,"Douglasville, GA",$$,300+ Guests,3,1,A conference center with elegant spaces for weddings.
Governors Towne Club,"Acworth, GA",$$,201-250 Guests,4.2,13,An elegant venue with a golf course and sophisticated spaces.
Genesis Ballroom,"Suwanee, GA",$$,251-300 Guests,,,An opulent wedding venue blending elegance and industrial styles.
Hilton Alpharetta Atlanta,"Alpharetta, GA",$$,251-300 Guests,5,1,A new full-service hotel for weddings and events.
Atlanta Marriott Alpharetta,"Alpharetta, GA",$$,300+ Guests,5,2,A luxurious hotel for sophisticated weddings.
Hazlehurst House,"McDonough, GA",$$,251-300 Guests,4.8,54,A wedding venue on three acres with indoor and outdoor spaces.
Kite Manor Events & Studio,"Fayetteville, GA",$$$,51-100 Guests,,,A unique venue with modern and rustic spaces.
The Grand Ivy Point,"Suwanee, GA",$$,300+ Guests,3,2,A premier venue for weddings and special events.
Vines Mansion & Gardens,"Loganville, GA",$$,300+ Guests,4.6,31,A mansion with gardens and an open vendor policy.
St Ives Country Club,"Johns Creek, GA",$$$,201-250 Guests,4.7,14,A country club with a clubhouse on a high point.
Breckinridge Banquet Hall,"Duluth, GA",$$,101-150 Guests,4.8,27,An upscale venue for intimate to large weddings.
Cherry Hollow Farm,"Chattahoochee Hills, GA",$$,151-200 Guests,5,6,A unique indoor/outdoor venue with multiple amenities.
Atlanta Cosmopolitan Event Center,"Douglasville, GA",,,0,0,A wedding venue with modern amenities.
The Wheeler House and Barn,"Ball Ground, GA",$$,251-300 Guests,4.9,117,A rustic barn with Southern charm for countryside weddings.
Carl House,"Auburn, GA",$$$,201-250 Guests,4.8,185,A historic home with elegant grounds for weddings.
Koury Farms Weddings & Events,"Auburn, GA",$$,151-200 Guests,5,110,A unique venue with attention to detail.
Bullock Springs Manor,"Dallas, GA",$$,151-200 Guests,4.4,16,A premier barn and farm wedding venue.
Lanier Islands Weddings,"Buford, GA",$$$,300+ Guests,4.7,170,A venue with breathtaking backdrops and amenities.
The Venue at Stillwater Pond,"Temple, GA",$$,151-200 Guests,,,A stunning venue with views of forestry and pastures.
Bradford House and Gardens,"Flowery Branch, GA",$$,101-150 Guests,5,42,A classic Southern home on seven acres.
In The Woods,"Rockmart, GA",$$$,201-250 Guests,5,23,A state-of-the-art venue on a secluded property.
The Engine Room,"Monroe, GA",Not specified,300+ Guests,4.9,32,The Engine Room at Monroe Cotton Mills is a unique wedding venue offering historical elegance with modern convenience.
Lillian Gardens,"Newnan, GA",$$$,151-200 Guests,5,37,Lillian Gardens is a full-service event venue providing professional planning services in a spacious mansion and garden setting.
Vinewood Stables,"Newnan, GA",$$$,201-250 Guests,4.9,88,"Vinewood Stables is a historic homestead with an original farmhouse, perfect for weddings and events."
Four Oaks Manor,"North Georgia, Metro-Atlanta",$$,101-150 Guests,4.7,50,"Four Oaks Manor is a garden wedding venue located in Buford, GA, with a historic farmhouse setting."
Fendley Farmstead LLC,"Canton, GA",$$,151-200 Guests,5,114,"Fendley Farmstead, LLC is a picturesque farm wedding venue with historic settings and expansive pastures."
The Gathering at Golden Creek,"Bremen, GA",Not specified,201-250 Guests,0,0,The Gathering at Golden Creek is a wedding venue situated on 23 acres of peaceful property with multiple event spaces.
Hi-Def Events,GA,$$,251-300 Guests,5,11,Hi-Def Events offers a modern yet timeless event venue setting with two locations to choose from.
Mystic Acres Barn,"Griffin, GA",$$,251-300 Guests,0,0,"Mystic Acres Barn is a beautiful wedding venue located in Griffin, GA, originating from a family farm."
Cherokee County Conference Center @ The Bluffs,"Canton, GA",Not specified,251-300 Guests,5,3,"Cherokee County Conference Center @ The Bluffs offers over 8,000 sq ft of conference space with advanced technology."
"The Venue at Sharp Mountain, LLC","Jasper, GA",$$$,251-300 Guests,5,53,"The Venue at Sharp Mountain, LLC is a wedding and events venue located in Jasper, GA, with historic settings."
Harrells Vineyard,"Newnan, GA",$$,300+ Guests,5,11,Harrell’s Vineyard is a serene and picturesque wedding venue nestled on 30 acres just outside of Atlanta.
The Willows Farm,"Marble Hill, GA",$$,201-250 Guests,5,96,"The Willows Farm is a country event venue nestled in the rolling hills of Georgia, perfect for weddings."
White Laurel Estate,"Dawsonville, GA",$$$,151-200 Guests,5,39,White Laurel Estate is a former equestrian farm turned wedding venue with onsite accommodations and customizable packages.
Sage Cottage,"Adairsville, GA",$$,151-200 Guests,4.6,11,Sage Cottage is a premier wedding venue in North Georgia offering cozy cottage charm and timeless elegance.
The Farm At Rivers Edge,"Dawsonville, GA",$$,51-100 Guests,0,0,"The Farm at River’s Edge is a destination for an unforgettable river wedding, spanning 32 acres of farmland."
The Georgia Club,"Statham, GA",$$$,251-300 Guests,4.8,5,"The Georgia Club is a one-of-a-kind wedding venue with an outdoor garden, indoor ceremony location, and customizable reception spaces."
Stone Creek Inn,"Rockmart, GA",$$,101-150 Guests,4.9,8,Stone Creek Inn is a charming wedding venue nestled on 20 acres of wooded land with a tranquil creek.
Beautiful Beginnings Farm,"Newborn, GA",$,101-150 Guests,5,133,Beautiful Beginnings Farm is a wedding venue offering a unique and personalized experience for special occasions.
Hightower Falls,"Cedartown, GA",$$,251-300 Guests,4.9,92,Hightower Falls is a picturesque wedding venue featuring a natural 80 ft. waterfall and historic gristmill ruins.
The Tate House,"Tate, GA",$$$,201-250 Guests,4.9,34,"The Tate House is a historic mansion built in 1921 with Etowah pink marble, offering a breathtaking setting for weddings."
Magnolia Creek Farms,"North Georgia, East Tennessee",$$$,300+ Guests,5,5,"Magnolia Creek Farms is a countryside wedding venue located in Adairsville, GA, featuring 170 acres of tranquil grounds."
Barn South,"Talmo, GA",Not specified,201-250 Guests,5,11,Barn South is a luxury Southern destination wedding venue with natural character and charm.
Downtown Moreland Mill,"Moreland, GA",Not specified,Not specified,5,2,"Downtown Moreland Mill is a historic wedding and events venue located in Moreland, GA, rich with old-world charm."
Autumn Oaks of Winder,"Winder, GA",$$,101-150 Guests,5,2,"Autumn Oaks of Winder is a charming wedding venue in the heart of Winder, GA, perfect for celebrations."
Swan Lake Overlook,"Dawsonville, GA",$$$,251-300 Guests,5,11,Swan Lake Overlook is a modern and elegant wedding venue nestled on over 200 acres of natural landscape.
Spring Lake Events,"Rockmart, GA",$$,151-200 Guests,5,20,Spring Lake Events is a picturesque wedding venue featuring a calm lake and wispy willow trees.
"Thompson House & Gardens, 9 Oaks Farm, & 2425 Warehouse",Ga,$$,151-200 Guests,4.9,68,Thompson House & Gardens is a stunning vintage Victorian home with elegant gardens and event spaces.
Gaither's at Myrtle Creek Farm,"Covington, GA",$$,151-200 Guests,5,3,"Gaither's at Myrtle Creek Farm is a historic setting for weddings and special events in Covington, GA."
The Sixty Two,"Atlanta, GA",$$,151-200 Guests,5,2,"The Sixty Two is a unique wedding venue in Atlanta, GA, offering a luxurious space for celebrations."
2400 On The River,"Ranger, GA",$$$,201-250 Guests,4.9,35,"2400 On The River is a rustic riverfront wedding venue located near Calhoun, GA, with a peaceful retreat setting."
Juliette Chapel,"Dahlonega, GA",$$,51-100 Guests,5,36,"Juliette Chapel & Events in Dahlonega, GA is a wedding venue ideal for intimate affairs."
The Chapel Athens,"Athens, GA",$$$,251-300 Guests,5,17,"Situated in Athens, GA, The Chapel Athens is a pristine downtown estate for weddings, engagements, and anniversaries."
1051 Baxter,"Athens, GA",$$,251-300 Guests,5,1,"1051 Baxter is a brand new events facility in the heart of Athens, GA."
Twin Ponds at Riverbend,"Plainville, GA",$$,151-200 Guests,5,1,"Twin Ponds at Riverbend is a breathtaking wedding venue in Plainville, GA, setting the stage for couples to create unforgettable memories."
"Bogle Farm, LLC","Greenville, GA",$$$,251-300 Guests,4.9,45,"Located in Greenville, GA, Bogle Farm, LLC is an award willing, idyllic wedding venue."
Summit Farm Weddings,"Ellijay, Blue Ridge, Dawsonville",$$,101-150 Guests,4.9,112,"Up in the serene Blue Ridge Mountains of Ellijay, GA, sits Summit Farm Weddings, an enchanting countryside event venue with a panoramic view of the Appalachian Mountains."
Falling Waters Mountain Lodge,"Ellijay, GA",,Outdoor Event Space,5,1,"Falling Waters Mountain Lodge in Ellijay, GA is a rural retreat and wedding venue."
255 Milledge | Hardeman-Sams Estate,"Athens, GA",$$$,151-200 Guests,4.9,118,"About 255 Milledge, Hardeman-Sams Estate At 255 Milledge, we believe that life’s greatest moments deserve nothing less than extraordinary celebrations."
Georgian Hall,"Athens, GA",$$$,201-250 Guests,5,103,"The Georgian Hall is a wedding venue nestled in Athens, GA. This elegant location is ideal for wedding ceremonies and receptions, as well as showers and rehearsal dinners."
Ivy & Oak,"Talking Rock, GA",$$,151-200 Guests,5,35,A breath taking venue nestled in the North Georgia mountains! This is not your average barn.
Ott Vineyards and Winery,"Ellijay, GA",,Outdoor Event Space,0,0,"Located in Ellijay, GA, Ott Vineyards and Winery is a family-owned-and-operated venue for weddings and other special events."
The Venue on Broad,"Athens, GA",$$,201-250 Guests,5,4,"The Venue on Broad, nestled in the heart of Athens, GA, offers an unparalleled setting for your wedding day."
27 on Park,"Dahlonega, GA",$$$,51-100 Guests,5,3,"27 on Park is a boutique hotel and wedding venue located in downtown Dahlonega, GA."
Strawberry Roan Farm's Barn,"Dahlonega, GA",$$,101-150 Guests,5,1,"Strawberry Roan Farm's Barn is a stunning and unique wedding venue located in Dahlonega, GA."
The Lodge at Taylor Estate,"Rome, GA",,Up to 350 guests,5,2,"The Lodge at Taylor Estate is a newly-built, elegant venue that can accommodate up to 350 guests."
The Falls at Blue Ridge,"Georgia, Destination Wedding",$$$$,251-300 Guests,4.3,4,"Nestled on 700 acres in the Blue Ridge Mountains of Georgia, The Falls at Blue Ridge is a stunning wedding and event venue that offers breathtaking views, gorgeous indoor and outdoor spaces, rustic-lu"
CeNita Venue at CeNita Vineyards & Winery,"Cleveland, GA",$$,151-200 Guests,5,49,"CeNita Venue at CeNita Vineyards is a wedding venue in the foothills of the Northeast Georgia Mountains in Cleveland, GA."
South Elm Events,"Commerce GA, Athens GA",$$,101-150 Guests,5,1,"South Elm Events: Weave Your Fairytale Wedding Imagine your dream wedding: a breathtaking ceremony bathed in sunlight, an elegant reception filled with laughter, and a weekend of celebration surround"
Cloverleaf Farm,"Athens-Clarke County, Oconee County",$$,300+ Guests,4.9,72,"Cloverleaf Farm is a stunning wedding venue set amidst a 30-acre farm just outside of Athens in Arnoldsville, GA."
The Venue at Grant Hill Farms,"Commerce, GA",$$,201-250 Guests,5,68,"Nestled among 88 acres of peaceful farmland, The Venue at Grant Hill Farms is the perfect place for your wedding or event!"
Yonah Mountain Vineyards,"Cleveland, GA",$$$,201-250 Guests,4.9,49,"Yonah Mountain Vineyards is a charming, sprawling wedding venue located in Cleveland, GA."
Cormiston Farms,"Helen, Clarkesville, Sautee GA",$$$,101-150 Guests,5,4,"Cormiston Farms is a scenic country wedding venue located in Clarkesville, GA, in the peaceful Nacoochee Valley area."
Enotah Valley Event Center,"Blairsville, GA",$$,51-100 Guests,5,5,"Located in Blairsville, GA, Enotah Valley is a venue that is a rustic setting for weddings."
Fall Line Station,"Macon, GA",$$$,300+ Guests,4.9,13,"Fall Line Station is Macon’s newest wedding and event venue! Offering a beautiful, industrial-chic background for your special day."
Valhalla Resort Hotel,Northeast Georgia,$$,51-100 Guests,5,2,"Destination Weddings!!! Nestled in the foothills of Georgia Wine Country, the Valhalla Resort Hotel has an elegant ambiance reminiscent of an Old World Scottish Castle."
Wynnewood Grove,"Greater Athens GA area, Northern Atlanta",$$,251-300 Guests,0,0,"Wynnewood Grove is a historic and romantic wedding venue in Lexington, GA."
Butler Hall Events,"Gray, GA",$$,201-250 Guests,5,1,"Butler Hall Events is a historic wedding venue in Gray, Georgia."
McEachin Farm,"Athens, Northeast GA, Hartwell, Commerce",$$,101-150 Guests,5,2,"McEachin Farm is a stunning wedding venue in Atlanta, GA, that sets the stage for the celebration of a lifetime!"
Brasstown Valley Resort & Spa,"Young Harris, GA",$$$,151-200 Guests,4.9,79,"As a wedding venue, Brasstown Valley Resort & Spa in Young Harris, GA, has it all."
Overlook 55,"Young Harris, GA",$$$$,151-200 Guests,5,7,"Nestled in the picturesque landscapes of Young Harris, GA, Overlook 55 is a captivating wedding venue that seamlessly blends rustic charm with timeless elegance."
Walnut Hill Farm,"Dalton, GA",$$,300+ Guests,4.8,16,"Majestic mountain views, formal and informal gardens, orchards and a beautifully landscaped pond await you."
The Estate at Stone Creek,"Macon, GA",$$,201-250 Guests,4.8,5,"The Estate at Stone Creek, located in Macon, GA, offers the perfect setting for the beginning of your happily ever after."
Lake Rabun Hotel & Restaurant,"Lakemont, GA",$$,101-150 Guests,5,2,"Our gorgeous wedding venue, Forest Lodge Wedding and Event Center, has two covered, open-air decks, floor to ceiling wood burning fireplace outside, and a cozy indoor gas fireplace for continual ambia."
Bend of The River,"Hiawassee, GA",$$,300+ Guests,0,0,"Bend of the River is a gorgeous, tranquil wedding venue on Lake Chatuge in Hiawassee, Georgia."
Currahee Club,"Toccoa, GA",$$$,101-150 Guests,5,10,"Nestled in the North Georgia mountains, the Currahee Club features serene lake and mountain views offering a unique blend of sophistication and rustic charm."
Rustic Vows,"Mineral Bluff, GA",$$,51-100 Guests,0,0,"Situated in Mineral Bluff, GA, Rustic Vows offers an idyllic barn-style setting for creating bespoke wedding events that leave lasting memories."
The Ridges Resort on Lake Chatuge,"Hiawassee, GA",$$$,201-250 Guests,4.9,46,The Ridges Resort on Lake Chatuge is the only lakeside mountain resort in Georgia.
Meadows at Mossy Creek,"Cleveland, GA",$$$$,251-300 Guests,5,39,"Meadows at Mossy Creek is a wedding reception venue located in Cleveland, GA."
The Dogwood Barn at G5Ranch,"Milledgeville, GA",$$$,300+ Guests,5,16,"Situated on over 600 acres in Milledgeville, Georgia, The Dogwood Barn is a premier wedding venue ideal for rustic romantic events."
Hawkesdene,"Andrews, NC",$$$,101-150 Guests,5,58,"Hawkesdene is a Private Mountain Estate located in Andrews, NC in the mountains of Western North Carolina."
Tryphena's Garden,"Fort Valley, GA",$$,151-200 Guests,4.9,18,"The Venue at Tryphena's Garden is a fairytale-like wedding and events venue in Fort Valley, Georgia."
Cloudland at McLemore Resort,"Rising Fawn, GA",$$$,251-300 Guests,4.2,6,"Your Dream Wedding, Above the Clouds At 2,300 feet above sea level, Cloudland at McLemore Resort on Lookout Mountain is a magical escape."
Splendor Mountain,"Tiger, GA",$$,51-100 Guests,4.7,27,"Splendor Mountain is the perfect venue for an intimate wedding ceremony and reception in Tiger, GA."
Windsong Willows,"Hayesville, NC",$$,101-150 Guests,5,3,"Nestled in the valley of the Blue Ridge Mountains, Windsong Willows is a charming new wedding venue in Hayesville, NC."
Tiger Mountain Vineyards,"Tiger, GA",$$$,101-150 Guests,5,1,"Nestled in the Blue Ridge Mountains, Tiger Mountain Vineyards offers a charming and intimate setting for your outdoor wedding."
Skull Shoals Park,Georgia,$$,300+ Guests,0,0,"Located in Historic Washington, GA, we offer several options to choose from for your special day."
Kingsland Farm,"Hawkinsville, GA",$$,151-200 Guests,5,1,"Kingsland Farm is a picturesque and reclusive wedding venue in Hawkinsville, GA, surrounded by calm rural beauty."
Forest Hill Park,"Perry, GA",$$,51-100 Guests,4.9,21,"Have a beautiful ceremony in a picturesque 1920's white wedding chapel, get dressed in our red train car with your wedding party."
The Icehouse Dublin,"Dublin, GA",$$,300+ Guests,0,0,"The Icehouse Dublin in Dublin, GA, is a unique wedding venue."
The Partridge Inn,"Augusta, GA",$$$,101-150 Guests,3.7,3,"The Partridge Inn is a wedding venue located in Augusta, GA, providing an elegant, timelessly beautiful setting."
Padgett's Farm,"Waynesboro, GA",$$$$,251-300 Guests,5,1,"Padgett's Farm is a gem of a wedding venue nestled on 610 acres of breathtaking nature in Waynesboro, GA."
Augusta Marriott Hotel & Suites,"Augusta, GA",$$,300+ Guests,4.3,6,"Augusta Marriott at the Convention Center is a hotel and wedding venue nestled on the Savannah River waterfront in Augusta, Georgia."
Quinney Oaks Plantation,"Millen, GA",$$,300+ Guests,4.8,18,Our event & wedding venue can make each and every occasion feel special.
